Company Name,Ticker,Last Close
"Altisource Portfolio Solutions","ASPS","5.95"
"Aspen Group","ASPU",".2848"
"Assertio","ASRT","4.11"
"AmeriServ Financial","ASRV","4.03"
"Astrotech","ASTC","12.09"
"Ascent Solar Technologies","ASTI","1.27"
"Legato Merger","ASTL","8.41"
"Astra Space","ASTR",".6358"
"AST SpaceMobile","ASTS","5.385"
"Asure Software","ASUR","10.63"
"ASE Technology","ASX","7.2"
"Asensus Surgical","ASXC",".8"
"Amtech Systems","ASYS","10.83"
"atai Life Sciences","ATAI","1.78"
"Aurora Technology Acquisition Corp.","ATAK","10.25"
"Altimar Acquisition III","ATAQ","10.14"
"Antibe Therapeutics","ATBPF",".4243"
"Atlas","ATCO","14.81"
"Atlas Technical Consultants","ATCX","12.13"
"Auto Trader Group","ATDRY","1.9"
"Data443 Risk Mitigation","ATDS",".17"
"Alphatec","ATEC","13.02"
"Athena Technology Acquisition Corp. II","ATEK","10.15"
"A10 Networks","ATEN","15.48"
"Aterian","ATER","1.53"
"AltiGen Communications","ATGN",".665"
"Athira Pharma","ATHA","4.04"
"Prana Biotechnology","ATHE","3.91"
"Athersys","ATHX","1.51"
"ATIF","ATIF","2.56"
"ATI Physical Therapy","ATIP",".44"
"Atlas Copco","ATLKY","11.775"
"Atlas Lithium Corporation","ATLX","7.8607"
"AlphaTime Acquisition Corp.","ATMC","10.12"
"Artemis Therapeutics","ATMS","1.1125"
"180 Life Sciences","ATNF","3.33"
"Actinium Pharmaceuticals","ATNM","11.72"
"Athenex","ATNX",".1826"
"Atomera","ATOM","7.3"
"Atossa Genetics","ATOS",".8008"
"Atlantis Plastics","ATPL",".4"
"Atara Biotherapeutics","ATRA","5.07"
"Astronics","ATRO","14.85"
"Astronics","ATROB","14.75"
"Adhera Therapeutics","ATRX",".95"
"Atento","ATTO","6.1"
"Altice USA","ATUS","4.9"
"Addentax Group Corp.","ATXG","1.46"
"Avenue Therapeutics","ATXI","1.38"
"Astria Therapeutics","ATXS","13.75"
"AcuityAds","ATY","1.77"
"Asia Time","ATYM",".001"
"Polymetal International","AUCOY","4"
"Audacy","AUD",".3212"
"AudioCodes","AUDC","19.17"
"Augusta Gold","AUGG","1.0399"
"Augmedix","AUGX","1.54"
"authID Inc.","AUID",".5725"
"Ault Alliance, Inc.","AULT",".129"
"Golden Minerals","AUMN",".2935"
"Aurcana","AUNFF",".0113"
"AU Optronics","AUOTY","5.82"
"Aurinia Pharmaceuticals","AUPH","9.05"
"Reinvent Technology Partners Y","AUR","1.82"
"Aura Biosciences","AURA","10.41"
"Aurora Acquisition","AURC","10.165"
"Austin Gold Corp.","AUST","1.0899"
"Autolus Therapeutics","AUTL","2.15"
"Auddia","AUUD","1.32"
"Applied UV","AUVI","1.35"
"Yamana Gold","AUY","6.03"
"Avalon Acquisition Inc.","AVAC","10.36"
"Aveanna Healthcare","AVAH","1.22"
"Grupo Aval Acciones y Valores","AVAL","2.42"
"Avanti Acquisition","AVAN","10.04"
"American Virtual Cloud Technologies","AVCTQ",".551"
"Avadel Pharmaceuticals","AVDL","7.525"
"AvidXchange","AVDX","11.12"
"Avinger","AVGR","1.34"
"Achari Ventures Holdings Corp. I","AVHI","10.45"
"Advanced Info Service","AVIFY","6.085"
"Atea Pharmaceuticals","AVIR","4.63"
"Avalon Rare Metals","AVLNF",".113"
"Mission Produce","AVO","12.46"
"AvePoint","AVPT","4.47"
"AVROBIO","AVRO",".91"
"Avalo Therapeutics","AVTX","3.945"
"Aviva","AVVIY","11.21"
"Anavex Life Sciences","AVXL","10.87"
"AVAX Technologies","AVXT",".0001"
"Avaya","AVYA",".3571"
"DNA Precious Metals","AWAW",".004"
"Awaysis Capital, Inc.","AWCA",".32"
"Alumina","AWCMY","4.468"
"","AWF","10.15"
"Aspira Women's Health","AWH",".4961"
"Aware","AWRE","1.81"
"Avalon Holdings","AWX","2.8"
"AXIOS Sustainable Growth Acquisition","AXAC","10.375"
"Abraxas Petroleum","AXAS",".89"
"Accelerate Diagnostics","AXDX",".6936"
"AxoGen","AXGN","9.47"
"Industrial Human Capital","AXHI","2"
"American Axle & Manufacturing Holdings","AXL","8.87"
"Axcella Health","AXLA",".68"
"AMREP","AXR","13.615"
"AXT","AXTI","5.89"
"Axtel","AXTLF",".05"
"Alderon Iron Ore","AXXDF",".0001"
"AMAYA Global","AYAG","13"
"AYRO","AYRO",".7449"
"Ayr Wellness Inc.","AYRWF","1.281"
"Aytu BioPharma","AYTU","3.3"
"A2Z Smart Technologies Corp.","AZ","1.85"
"Azure Power Global","AZRE","4.06"
"AZUL","AZUL","7.06"
"Aziyo Biologics","AZYO","4.485"
"BAB","BABB",".81"
"","BABYF",".4941"
"Berenson Acquisition Corp. I","BACA","10.15"
"Bank of China","BACHY","9.49"
"IMAC Holdings","BACK",".3421"
"Bridger Aerospace Group Holdings, Inc.","BAER","7.97"
"BayFirst Financial Corp.","BAFN","18.8"
"Balfour Beatty","BAFYY","8.46"
"Braskem","BAK","9.23"
"Bally's","BALY","19.87"
"Banc of California","BANC","17.42"
"ArrowMark Financial","BANX","18.18"
"Baosheng Media Group Holdings","BAOS",".8789"
"BARK","BARK","2.01"
"Couchbase","BASE","14.79"
"BASF","BASFY","14.35"
"Basic Energy Services, Inc.","BASXQ",".01"
"Battalion Oil","BATL","10.32"
"Blue Star Gold Corp.","BAUFF",".18"
"Bayer","BAYRY","15.58"
"BlackBerry","BB","4.25"
"BigBear.ai","BBAI","3.27"
"BBVA Banco Frances","BBAR","4.65"
"Bed Bath & Beyond","BBBY","2.82"
"Concrete Pumping Holdings","BBCP","8.14"
"Banco Bradesco","BBD","2.79"
"Barings BDC","BBDC","8.76"
"Banco Bradesco","BBDO","2.47"
"Beasley Broadcast Group","BBGI","1.14"
"Vinco Ventures","BBIG",".7389"
"BridgeBio Pharma","BBIO","9.28"
"Bone Biologics","BBLG",".2826"
"Babylon Holdings","BBLN","11.58"
"BrewBilt Manufacturing","BBRW",".0002"
"BB Seguridade Participacoes","BBSEY","7.41"
"Big Buck Brewery & Steakhouse","BBUCQ",".007"
"Banco Bilbao Viscaya Argentaria","BBVA","7.06"
"BioAtla","BCAB","3.79"
"BlackRock Capital Allocation Trust","BCAT","15.11"
"BCB Bancorp  NJ","BCBP","17.99"
"Baristas Coffee","BCCI",".0064"
"BioCardia","BCDA","2.54"
"Atreca","BCEL","1.68"
"Babcock International Group","BCKIY","3.38"
"Brainstorm Cell Therapeutics","BCLI","1.82"
"Bank of Communications","BCMXY","15.6"
"Moqizone Holding","BCNN",".0047"
"B Communications","BCOMF","4.7"
"Brightcove","BCOV","6.34"
"1895 Bancorp of Wisconsin","BCOW","9.93"
"Blue Capital Reinsurance","BCRHF",".0002"
"BioCryst Pharmaceuticals","BCRX","10.55"
"Barclays","BCS","9.28"
"Blockchain Coinvestors Acquisition Corp. I","BCSA","10.47"
"Bain Capital Specialty Finance","BCSF","13.36"
"BANCORP 34","BCTF","13.01"
"BRIACELL THERAP","BCTX","7.48"
"","BCV","18.3501"
"Blue Dolphin Energy Co.","BDCO","1.72"
"Black Dragon Resource","BDGR",".0001"
"Black Diamond Group","BDIMF","3.7957"
"Brandywine Realty Trust","BDN","6.56"
"Banco Do Brasil","BDORY","8.19"
"Blonder Tongue Laboratories","BDRL",".27"
"Biodesix","BDSX","2.4"
"Black Diamond Therapeutics","BDTX","3"
"HeartBeam","BEAT","3.87"
"bebe stores","BEBE","5.2"
"Bright Scholar Education","BEDU","2.6"
"Beam Global","BEEM","17.41"
"KE Hodlings","BEKE","18.34"
"Berkshire Bancorp","BERK","12.44"
"BEST","BEST",".79"
"BetterLife Pharma","BETRF",".1111"
"Benev Capital","BEVFF","2.42"
"Battery Future Acquisition Corp.","BFAC","10.3284"
"BurgerFi International","BFI","1.79"
"BankFinancial","BFIN","10.09"
"Butterfly Network","BFLY","2.75"
"BioForce Nanosciences","BFNH","2.85"
"Biofrontera Inc.","BFRI",".8498"
"Fast Track Solutions","BFYW",".0139"
"BGC Partners","BGCP","4.35"
"Blue Gem Enterprise","BGEM",".0001"
"Big 5 Sporting Goods","BGFV","9.99"
"Birks Group","BGI","7.5303"
"BG Medicine","BGMD",".0002"
"Berkshire Grey","BGRY","1.13"
